,name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,Welington Damascena Santos,DEF,Southampton,0.8,0,0,22,1,10.9,718,0.01,0.01,0.0,1.71,358,0,0,4.0,27.0,2025-05-10T14:00:00Z,87,0,0,0,0,0,0,0,False,13,0,0,0,0,36,0,1416,1,0,0,2.0,6,-26,32,58,40,True,0
1,Alex Scott,MID,Bournemouth,1.0,0,0,1,0,17.5,77,0.11,0.14,0.03,0.92,351,1,0,2.4,4.6,2025-05-10T16:30:00Z,45,0,0,0,0,0,0,0,False,2,0,0,0,0,36,0,3422,1,1,0,2.0,0,27,63,36,47,True,1
2,Carlos Miguel dos Santos Pereira,GK,Nott'm Forest,1.0,0,0,0,0,0.0,427,0.0,0.0,0.0,0.0,357,0,0,0.0,0.0,2025-05-11T13:15:00Z,0,0,0,0,0,0,0,0,False,11,0,0,0,0,36,0,15800,0,2,2,0.0,0,-33,143,176,41,True,0
3,Tomiyasu Takehiro,DEF,Arsenal,0.0,0,0,0,0,0.0,22,0.0,0.0,0.0,0.0,354,0,0,0.0,0.0,2025-05-11T15:30:00Z,0,0,0,0,0,0,0,0,False,12,0,0,0,0,36,0,3813,0,2,2,0.0,0,4,28,24,48,False,0
4,Malcolm Ebiowei,MID,Crystal Palace,0.0,0,0,0,0,0.0,197,0.0,0.0,0.0,0.0,359,0,0,0.0,0.0,2025-05-11T13:15:00Z,0,0,0,0,0,0,0,0,False,18,0,0,0,0,36,0,239,0,2,0,0.0,0,0,0,0,45,False,0
5,Ben Brereton Díaz,MID,Southampton,0.0,0,0,0,0,0.0,584,0.0,0.0,0.0,0.0,358,0,0,0.0,0.0,2025-05-10T14:00:00Z,0,0,0,0,0,0,0,0,False,13,0,0,0,0,36,0,14238,0,0,0,0.0,0,-29,0,29,48,True,0
6,Pau Torres,DEF,Aston Villa,2.0,0,0,3,0,0.0,52,0.0,0.0,0.0,0.72,351,0,0,0.2,2.0,2025-05-10T16:30:00Z,20,0,0,0,0,0,0,0,False,3,0,0,0,0,36,0,89251,0,1,0,0.0,1,888,1986,1098,42,False,0
7,Joel Ward,DEF,Crystal Palace,0.0,0,0,0,0,0.0,215,0.0,0.0,0.0,0.0,359,0,0,0.0,0.0,2025-05-11T13:15:00Z,0,0,0,0,0,0,0,0,False,18,0,0,0,0,36,0,8348,0,2,0,0.0,0,1,43,42,43,False,0
8,Antonín Kinsky,GK,Spurs,0.8,0,0,20,0,0.0,716,0.0,0.0,0.0,3.39,359,2,0,6.5,65.2,2025-05-11T13:15:00Z,90,0,0,0,0,0,0,0,False,7,0,0,0,0,36,8,14405,1,2,0,0.0,3,-351,166,517,41,True,0
9,Will Lankshear,FWD,Spurs,0.0,0,0,0,0,0.0,609,0.0,0.0,0.0,0.0,359,0,0,0.0,0.0,2025-05-11T13:15:00Z,0,0,0,0,0,0,0,0,False,7,0,0,0,0,36,0,111828,0,2,0,0.0,0,-918,0,918,45,True,0
