,can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code_x,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form_x,id_x,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,defensive_contribution_per_90,code_y,draw,form_y,id_y,loss,team_name,played,points,position,short_name,strength,team_division,unavailable,win,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id,id,plural_name,plural_name_short,position_name,singular_name_short,squad_select,squad_min_select,squad_max_select,squad_min_play,squad_max_play,ui_shirt_specific,sub_positions_locked,element_count
4,True,True,,,226597,0,0,0,0,0,2,4.5,,0,Gabriel,0.0,5,False,,,60,226597.jpg,4.2,False,dos Santos Magalhães,20.1,False,,a,1,3,117,0,0,0,0,0.0,19.5,Gabriel,30.0,2020-09-01,1997-12-19,False,p226597,2363,3,2,10,22,0,0,0,4,0,0,9,459,584.6,208.8,287.0,108.2,0,0,0,159,28,2.70,1.21,3.91,23.09,96,32,167,36,107,12,121,31,,,,,,,0.1,0.0,0.05,0.15,0.88,0.84,99,5,591,224,32,1,18,7,1.07,0.38,6.06,3,0,,1,0,Arsenal,0,0,0,ARS,4,,False,0,1320,1325,1350,1350,1290,1300,1,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],228
5,True,True,,,462424,0,0,0,0,0,2,4.5,,0,William,0.0,6,False,,,60,462424.jpg,3.7,False,Saliba,13.5,False,,a,1,3,130,0,0,0,0,0.0,21.7,Saliba,73.0,2019-07-25,2001-03-24,False,p462424,3039,2,0,12,29,0,0,0,2,1,0,14,564,672.6,150.1,116.0,94.2,0,0,0,216,35,2.42,1.28,3.70,30.32,59,21,203,55,209,62,139,36,,,,,,,0.07,0.0,0.04,0.11,0.9,0.86,105,7,597,226,70,11,33,13,1.04,0.36,6.4,3,0,,1,0,Arsenal,0,0,0,ARS,4,,False,0,1320,1325,1350,1350,1290,1300,1,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],228
6,True,True,,,466075,0,0,0,0,0,2,3.8,,0,Riccardo,0.0,7,False,,,55,466075.jpg,2.1,False,Calafiori,0.7,False,,a,1,3,39,0,0,0,0,0.0,7.1,Calafiori,106.0,2024-07-29,2002-05-19,False,p466075,978,2,1,1,12,0,0,0,4,0,0,1,142,252.6,118.2,176.0,54.6,0,0,0,66,11,0.86,0.69,1.55,10.28,222,80,221,65,167,35,230,68,,,,,,,0.08,0.0,0.06,0.14,0.95,1.1,182,25,539,213,236,83,224,77,1.01,0.09,6.07,3,0,,1,0,Arsenal,0,0,0,ARS,4,,False,0,1320,1325,1350,1350,1290,1300,1,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],228
7,True,True,,,445122,0,0,0,0,0,2,3.8,,0,Jurriën,0.0,8,False,,,55,445122.jpg,3.8,False,Timber,2.3,False,,a,1,3,114,0,0,0,0,0.0,20.7,J.Timber,152.0,2023-07-14,2001-06-17,False,p445122,2415,1,3,11,21,0,0,0,7,0,0,9,426,393.0,296.8,254.0,94.2,0,0,0,125,27,1.23,1.30,2.53,21.09,162,56,123,24,117,15,138,35,,,,,,,0.05,0.0,0.05,0.1,0.79,0.78,178,23,535,211,59,6,119,41,1.01,0.41,4.66,3,0,,1,0,Arsenal,0,0,0,ARS,4,,False,0,1320,1325,1350,1350,1290,1300,1,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],228
8,True,True,,,440854,0,0,0,0,0,2,3.8,,0,Jakub,0.0,9,False,,,55,440854.jpg,2.5,False,Kiwior,0.1,False,,a,1,3,43,0,0,0,0,0.0,7.8,Kiwior,172.0,2023-01-23,2000-02-15,False,p440854,1117,1,0,3,15,0,0,0,1,0,0,2,178,267.2,91.3,32.0,39.2,0,0,0,93,10,0.17,0.29,0.46,14.71,214,77,244,82,286,102,261,88,,,,,,,0.01,0.0,0.02,0.03,1.19,1.21,173,21,530,209,187,65,462,179,0.81,0.24,7.49,3,0,,1,0,Arsenal,0,0,0,ARS,4,,False,0,1320,1325,1350,1350,1290,1300,1,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],228
9,True,True,,,499169,0,0,0,0,0,2,3.8,,0,Myles,0.0,10,False,,,55,499169.jpg,1.6,False,Lewis-Skelly,4.7,False,,a,1,3,37,0,0,0,0,0.0,6.7,Lewis-Skelly,241.0,2022-12-04,2006-09-26,False,p499169,1362,1,0,5,16,0,0,0,3,2,0,0,237,176.0,170.7,57.0,40.0,0,0,0,54,15,0.16,0.51,0.67,16.65,268,99,193,49,257,90,258,85,,,,,,,0.01,0.0,0.03,0.04,1.1,1.06,193,28,550,216,297,105,78,27,0.99,0.33,3.57,3,0,,1,0,Arsenal,0,0,0,ARS,4,,False,0,1320,1325,1350,1350,1290,1300,1,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],228
10,True,True,,,198869,0,0,0,0,0,2,3.8,,0,Benjamin,0.0,11,False,,,55,198869.jpg,2.9,False,White,0.8,False,,a,1,3,50,0,0,0,0,0.0,9.1,White,241.0,2021-07-30,1997-10-08,False,p198869,1195,0,2,5,13,0,0,0,2,0,0,0,211,247.6,162.6,100.0,51.0,0,0,0,82,13,0.46,1.30,1.76,16.88,225,82,197,51,222,72,237,72,,,,,,,0.03,0.0,0.1,0.13,1.27,0.98,140,15,497,203,142,41,203,70,0.98,0.38,6.18,3,0,,1,0,Arsenal,0,0,0,ARS,4,,False,0,1320,1325,1350,1350,1290,1300,1,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],228
11,True,True,,,206325,0,0,0,0,0,2,3.1,,0,Oleksandr,0.0,12,False,,,50,206325.jpg,2.7,False,Zinchenko,0.3,False,,a,1,3,40,0,0,0,0,0.0,8.0,Zinchenko,225.0,2022-07-22,1996-12-15,False,p206325,518,0,1,4,1,0,0,0,1,0,0,2,141,83.4,92.8,66.0,24.1,0,0,0,21,5,0.65,0.52,1.17,3.21,312,115,243,81,250,85,294,105,,,,,,,0.11,0.0,0.09,0.2,0.56,0.17,256,38,372,173,167,53,298,110,0.87,0.69,3.65,3,0,,1,0,Arsenal,0,0,0,ARS,4,,False,0,1320,1325,1350,1350,1290,1300,1,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],228
31,True,True,,,500040,0,0,0,0,0,2,3.8,,0,Cristhian,0.0,662,False,,,55,500040.jpg,0.0,False,Mosquera,0.1,False,,a,1,3,0,0,0,0,0,0.0,0.0,Mosquera,200.0,2025-07-24,2004-06-27,False,p500040,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,666,227,666,227,664,227,666,227,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,195,29,552,217,666,227,458,176,0.0,0.0,0.0,3,0,,1,0,Arsenal,0,0,0,ARS,4,,False,0,1320,1325,1350,1350,1290,1300,1,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],228
37,True,True,,,199796,0,0,0,0,0,2,1.4,,0,Matty,0.0,36,False,,,45,199796.jpg,2.8,False,Cash,1.8,False,,a,2,7,76,0,0,0,0,0.0,16.9,Cash,172.0,2020-09-03,1997-08-07,False,p199796,2069,1,1,7,22,0,0,0,7,0,0,2,286,359.2,181.0,171.0,71.3,0,0,0,145,24,0.48,1.23,1.71,28.64,173,61,185,43,170,38,191,60,,,,,,,0.02,0.0,0.05,0.07,1.25,0.96,394,88,165,108,153,46,144,51,1.04,0.3,6.31,7,0,,2,0,Aston Villa,0,0,0,AVL,3,,False,0,1125,1250,1110,1200,1140,1300,2,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],228
