,can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code_x,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form_x,id_x,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,defensive_contribution_per_90,code_y,draw,form_y,id_y,loss,team_name,played,points,position,short_name,strength,team_division,unavailable,win,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id,id,plural_name,plural_name_short,position_name,singular_name_short,squad_select,squad_min_select,squad_max_select,squad_min_play,squad_max_play,ui_shirt_specific,sub_positions_locked,element_count
0,True,True,,,154561,0,0,0,0,0,1,4.5,,0,David,0.0,1,False,,,55,154561.jpg,3.7,False,Raya Martín,17.3,False,,a,1,3,142,0,0,0,0,0.0,25.8,Raya,200.0,2024-07-04,1995-09-15,False,p154561,3420,0,0,13,34,0,0,0,3,0,86,10,555,755.4,10.7,0.0,76.7,0,0,0,0,38,0.00,0.03,0.03,35.03,37,8,342,11,646,80,178,8,,,,,,,0.0,2.26,0.0,0.0,0.92,0.89,130,4,487,80,68,11,25,5,1.0,0.34,0.0,3,0,,1,0,Arsenal,0,0,0,ARS,4,,False,0,1320,1325,1350,1350,1290,1300,1,1,Goalkeepers,GKP,Goalkeeper,GKP,2,,,1,1,True,[12],80
1,True,True,,,109745,0,0,0,0,0,1,2.8,,0,Kepa,0.0,2,False,,,45,109745.jpg,3.4,False,Arrizabalaga Revuelta,1.0,False,,a,1,3,106,0,0,0,0,0.0,23.6,Arrizabalaga,200.0,2025-07-01,1994-10-03,False,p109745,2790,0,0,8,39,0,0,0,3,0,97,7,406,744.4,10.4,4.0,75.8,0,0,0,0,31,0.06,0.03,0.09,38.83,38,9,344,12,333,1,183,9,,,,,,,0.0,3.13,0.0,0.0,1.25,1.26,375,22,146,51,94,16,183,23,1.0,0.26,0.0,3,0,,1,0,Arsenal,0,0,0,ARS,4,,False,0,1320,1325,1350,1350,1290,1300,1,1,Goalkeepers,GKP,Goalkeeper,GKP,2,,,1,1,True,[12],80
35,True,False,0.0,,462492,0,0,0,0,0,1,0.0,,0,Joe,0.0,34,False,Has joined Port Vale on loan for the rest of the season.,2025-08-12T07:40:37.843391Z,40,462492.jpg,0.0,False,Gauci,0.7,False,,u,2,7,0,0,0,0,0,0.0,0.0,Gauci,13.0,2024-02-01,2000-07-04,False,p462492,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,438,54,428,45,397,30,438,54,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,617,63,59,28,441,54,215,28,0.0,0.0,0.0,7,0,,2,0,Aston Villa,0,0,0,AVL,3,,False,0,1125,1250,1110,1200,1140,1300,2,1,Goalkeepers,GKP,Goalkeeper,GKP,2,,,1,1,True,[12],80
36,True,False,0.0,,462381,0,0,0,0,0,1,0.0,,0,Filip,0.0,35,False,Has joined Stevenage permanently.,2025-07-30T14:08:21.698398Z,40,462381.jpg,0.0,False,Marschall,0.1,False,,u,2,7,0,0,0,0,0,0.0,0.0,Marschall,241.0,2021-12-13,2003-04-24,False,p462381,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,437,53,427,44,396,29,437,53,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,616,62,58,27,440,53,595,75,0.0,0.0,0.0,7,0,,2,0,Aston Villa,0,0,0,AVL,3,,False,0,1125,1250,1110,1200,1140,1300,2,1,Goalkeepers,GKP,Goalkeeper,GKP,2,,,1,1,True,[12],80
70,True,True,,,51943,0,0,0,0,0,1,0.5,,0,Václav,0.0,185,False,,,40,51943.jpg,0.0,False,Hladký,0.3,False,,a,3,90,0,0,0,0,0,0.0,0.0,Hladký,57.0,2024-07-19,1990-11-14,False,p51943,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,392,31,379,19,345,4,392,31,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,560,37,2,2,396,32,331,50,0.0,0.0,0.0,90,0,,3,0,Burnley,0,0,0,BUR,2,,False,0,1050,1050,1050,1050,1050,1050,43,1,Goalkeepers,GKP,Goalkeeper,GKP,2,,,1,1,True,[12],80
105,True,True,75.0,,67089,0,0,0,0,0,1,0.4,,0,Martin,0.0,470,False,Lack of match fitness - 75% chance of playing,2025-08-11T10:30:07.723845Z,40,67089.jpg,4.4,False,Dúbravka,28.4,False,,d,3,90,44,0,0,0,0,0.0,11.0,Dúbravka,194.0,2025-08-07,1989-01-15,False,p67089,900,0,0,5,12,0,0,0,0,0,29,2,160,220.2,0.0,0.0,22.0,0,0,0,0,10,0.00,0.00,0.00,11.19,234,19,381,21,347,6,301,19,,,,,,,0.0,2.9,0.0,0.0,1.12,1.2,563,39,5,4,24,4,7,1,1.0,0.5,0.0,90,0,,3,0,Burnley,0,0,0,BUR,2,,False,0,1050,1050,1050,1050,1050,1050,43,1,Goalkeepers,GKP,Goalkeeper,GKP,2,,,1,1,True,[12],80
108,True,False,0.0,,69752,0,0,0,0,0,1,0.0,,0,Norberto,0.0,66,False,Has joined Botafogo permanently.,2025-08-11T01:25:12.553868Z,45,69752.jpg,3.5,False,Murara Neto,0.6,False,,u,4,91,7,0,0,0,0,0.0,1.6,Neto,30.0,2022-08-07,1989-07-19,False,p69752,180,0,0,0,2,0,0,0,0,0,11,0,30,77.8,0.0,0.0,7.8,0,0,0,0,2,0.00,0.00,0.00,2.91,316,25,483,62,460,49,343,25,,,,,,,0.0,5.5,0.0,0.0,1.46,1.0,362,18,133,47,84,14,231,32,1.0,0.0,0.0,91,0,,4,0,Bournemouth,0,0,0,BOU,3,,False,0,1150,1180,1100,1160,1200,1200,127,1,Goalkeepers,GKP,Goalkeeper,GKP,2,,,1,1,True,[12],80
109,True,True,,,457569,0,0,0,0,0,1,1.3,,0,Đorđe,0.0,67,False,,,45,457569.jpg,0.0,False,Petrović,3.7,False,,a,4,91,0,0,0,0,0,0.0,0.0,Petrović,190.0,2025-07-16,1999-10-08,False,p457569,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,522,75,518,71,498,60,522,75,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,448,30,219,59,525,75,85,12,0.0,0.0,0.0,91,0,,4,0,Bournemouth,0,0,0,BOU,3,,False,0,1150,1180,1100,1160,1200,1200,127,1,Goalkeepers,GKP,Goalkeeper,GKP,2,,,1,1,True,[12],80
110,True,True,,,444172,0,0,0,0,0,1,0.0,,0,Will,0.0,68,False,,,40,444172.jpg,0.0,False,Dennis,0.8,False,,a,4,91,0,0,0,0,0,0.0,0.0,Dennis,241.0,2019-08-01,2000-07-10,False,p444172,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,430,50,420,41,389,26,430,50,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,609,59,51,24,433,50,204,27,0.0,0.0,0.0,91,0,,4,0,Bournemouth,0,0,0,BOU,3,,False,0,1150,1180,1100,1160,1200,1200,127,1,Goalkeepers,GKP,Goalkeeper,GKP,2,,,1,1,True,[12],80
111,True,True,,,568791,0,0,0,0,0,1,0.0,,0,Callan,0.0,69,False,,,40,568791.jpg,0.0,False,McKenna,0.2,False,,a,4,91,0,0,0,0,0,0.0,0.0,McKenna,243.0,2024-02-01,2006-12-22,False,p568791,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,477,67,468,58,442,45,477,67,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,665,78,107,43,480,67,376,54,0.0,0.0,0.0,91,0,,4,0,Bournemouth,0,0,0,BOU,3,,False,0,1150,1180,1100,1160,1200,1200,127,1,Goalkeepers,GKP,Goalkeeper,GKP,2,,,1,1,True,[12],80
