,can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code_x,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form_x,id_x,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,defensive_contribution_per_90,code_y,draw,form_y,id_y,loss,team_name,played,points,position,short_name,strength,team_division,unavailable,win,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id,id,plural_name,plural_name_short,position_name,singular_name_short,squad_select,squad_min_select,squad_max_select,squad_min_play,squad_max_play,ui_shirt_specific,sub_positions_locked,element_count
15,True,True,,,223340,0,0,0,0,0,3,3.5,,0,Bukayo,0.0,16,False,,,100,223340.jpg,5.1,False,Saka,17.5,False,,a,1,3,127,0,0,0,0,0.0,12.7,Saka,241.0,2018-11-28,2001-09-05,False,p223340,1724,6,11,7,21,0,0,0,3,0,0,18,508,606.0,842.8,830.0,227.9,0,0,0,108,20,6.87,7.78,14.65,17.72,87,36,16,15,23,13,14,10,1.0,,4.0,,1.0,,0.36,0.0,0.41,0.77,0.93,1.1,5,3,681,302,11,6,23,6,1.04,0.37,5.64,3,0,,1,0,Arsenal,0,0,0,ARS,4,,False,0,1320,1325,1350,1350,1290,1300,1,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],304
16,True,True,,,184029,0,0,0,0,0,3,3.1,,0,Martin,0.0,17,False,,,80,184029.jpg,3.9,False,Ødegaard,3.3,False,,a,1,3,116,0,0,0,0,0.0,14.5,Ødegaard,161.0,2021-08-20,1998-12-17,False,p184029,2321,3,9,11,21,0,0,0,4,0,0,11,529,524.6,968.7,493.0,198.8,0,0,0,127,26,4.85,6.68,11.53,22.16,113,46,7,7,63,43,32,25,3.0,,2.0,,2.0,,0.19,0.0,0.26,0.45,0.86,0.81,14,8,669,293,56,28,91,30,1.01,0.43,4.92,3,0,,1,0,Arsenal,0,0,0,ARS,4,,False,0,1320,1325,1350,1350,1290,1300,1,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],304
17,True,True,,,248857,0,0,0,0,0,3,2.8,,0,Noni,0.0,18,False,,,70,248857.jpg,3.8,False,Madueke,1.4,False,,a,1,3,120,0,0,0,0,0.0,17.1,Madueke,241.0,2025-07-18,2002-03-10,False,p248857,2028,7,5,6,28,0,0,0,3,0,0,12,425,479.2,475.1,998.0,195.3,0,0,0,129,27,9.62,2.86,12.48,29.55,130,54,73,59,11,5,37,29,,,,,,,0.43,0.0,0.13,0.56,1.31,1.24,37,24,650,283,63,31,158,56,1.2,0.27,5.72,3,0,,1,0,Arsenal,0,0,0,ARS,4,,False,0,1320,1325,1350,1350,1290,1300,1,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],304
18,True,True,,,444145,0,0,0,0,0,3,2.8,,0,Gabriel,0.0,19,False,,,70,444145.jpg,3.8,False,Martinelli Silva,1.5,False,,a,1,3,125,0,0,0,0,0.0,17.9,Martinelli,30.0,2019-07-15,2001-06-18,False,p444145,2284,8,4,10,25,0,0,0,1,0,0,6,422,559.8,587.8,912.0,206.1,0,0,0,122,25,7.13,4.46,11.59,26.22,103,41,51,44,16,8,26,21,,,,,,,0.28,0.0,0.18,0.46,1.03,0.99,40,26,653,285,64,32,156,54,0.99,0.39,4.81,3,0,,1,0,Arsenal,0,0,0,ARS,4,,False,0,1320,1325,1350,1350,1290,1300,1,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],304
19,True,True,75.0,,116216,0,0,0,0,0,3,2.1,,0,Leandro,0.0,20,False,Groin Injury - 75% chance of playing,2025-08-10T18:00:05.270079Z,70,116216.jpg,4.0,False,Trossard,0.9,False,,d,1,3,152,0,0,0,0,0.0,21.7,Trossard,21.0,2023-01-20,1994-12-04,False,p116216,2546,8,8,11,27,0,0,0,2,1,0,18,561,609.0,617.6,798.0,202.1,0,0,0,158,28,6.74,4.12,10.86,24.76,84,33,49,42,25,14,29,23,,,,,4.0,,0.24,0.0,0.15,0.39,0.88,0.95,30,17,643,276,45,23,193,67,0.99,0.39,5.59,3,0,,1,0,Arsenal,0,0,0,ARS,4,,False,0,1320,1325,1350,1350,1290,1300,1,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],304
20,True,True,,,204480,0,0,0,0,0,3,2.7,,0,Declan,0.0,21,False,,,65,204480.jpg,3.6,False,Rice,7.5,False,,a,1,3,127,0,0,0,0,0.0,19.5,Rice,241.0,2023-07-15,1999-01-14,False,p204480,2823,4,7,11,29,0,0,0,5,1,0,17,627,733.0,959.6,399.0,208.8,0,0,0,297,33,3.51,5.64,9.14,27.13,44,12,9,9,80,56,24,19,2.0,,1.0,,,,0.11,0.0,0.18,0.29,0.86,0.92,52,36,616,256,79,39,56,17,1.05,0.35,9.47,3,0,,1,0,Arsenal,0,0,0,ARS,4,,False,0,1320,1325,1350,1350,1290,1300,1,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],304
21,True,True,,,195384,0,0,0,0,0,3,2.6,,0,Mikel,0.0,22,False,,,60,195384.jpg,3.3,False,Merino Zazón,0.7,False,,a,1,3,92,0,0,0,0,0.0,15.3,Merino,200.0,2024-08-27,1996-06-22,False,p195384,1575,7,2,4,17,0,0,0,2,1,0,8,326,456.8,265.8,511.0,123.3,0,0,0,175,17,5.75,1.18,6.93,15.71,136,57,137,96,58,40,99,65,,,,,,,0.33,0.0,0.07,0.4,0.9,0.97,91,63,583,235,112,53,211,73,0.97,0.23,10.0,3,0,,1,0,Arsenal,0,0,0,ARS,4,,False,0,1320,1325,1350,1350,1290,1300,1,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],304
22,True,True,,,438098,0,0,0,0,0,3,2.5,,0,Fábio,0.0,23,False,,,55,438098.jpg,0.0,False,Ferreira Vieira,0.0,False,,a,1,3,0,0,0,0,0,0.0,0.0,Fábio Vieira,173.0,2022-06-21,2000-05-30,False,p438098,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,660,290,660,290,657,287,660,290,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,171,111,528,202,660,290,615,256,0.0,0.0,0.0,3,0,,1,0,Arsenal,0,0,0,ARS,4,,False,0,1320,1325,1350,1350,1290,1300,1,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],304
23,True,True,,,128295,0,0,0,0,0,3,2.5,,0,Christian,0.0,24,False,,,55,128295.jpg,3.1,False,Nørgaard,0.7,False,,a,1,3,107,0,0,0,0,0.0,19.5,Nørgaard,58.0,2025-07-10,1994-03-10,False,p128295,2820,5,5,6,45,0,0,0,8,1,0,7,580,735.4,333.0,409.0,147.9,0,0,0,405,34,4.23,1.38,5.61,44.54,42,11,105,76,75,52,74,52,,,,,,,0.14,0.0,0.04,0.18,1.42,1.44,127,82,484,173,127,60,213,74,1.09,0.19,12.93,3,0,,1,0,Arsenal,0,0,0,ARS,4,,False,0,1320,1325,1350,1350,1290,1300,1,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],304
24,True,True,,,499175,0,0,0,0,0,3,2.5,,0,Ethan,0.0,25,False,,,55,499175.jpg,2.5,False,Nwaneri,0.4,False,,a,1,3,66,0,0,0,0,0.0,12.0,Nwaneri,241.0,2022-09-17,2007-03-21,False,p499175,882,4,2,4,4,0,0,0,1,0,0,4,251,293.2,282.8,255.0,83.0,0,0,0,53,11,1.19,1.78,2.97,5.38,203,96,130,91,115,79,161,89,4.0,,3.0,,,,0.12,0.0,0.18,0.3,0.55,0.41,194,123,551,214,189,81,288,93,1.12,0.41,5.41,3,0,,1,0,Arsenal,0,0,0,ARS,4,,False,0,1320,1325,1350,1350,1290,1300,1,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],304
26,True,True,,,200641,0,0,0,0,0,3,2.0,,0,Reiss,0.0,27,False,,,50,200641.jpg,2.2,False,Nelson,0.1,False,,a,1,3,27,0,0,0,0,0.0,5.4,Nelson,241.0,2017-07-12,1999-12-10,False,p200641,483,1,1,1,9,0,0,0,1,0,0,2,143,131.6,223.9,195.0,55.1,0,0,0,45,5,1.07,0.96,2.03,6.13,287,136,158,110,156,102,226,120,,,,,,,0.2,0.0,0.18,0.38,1.14,1.68,251,158,367,100,220,96,455,151,0.93,0.19,8.39,3,0,,1,0,Arsenal,0,0,0,ARS,4,,False,0,1320,1325,1350,1350,1290,1300,1,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],304
28,True,True,,,437742,0,0,0,0,0,3,1.5,,0,Albert,0.0,29,False,,,45,437742.jpg,0.0,False,Sambi Lokonga,0.1,False,,a,1,3,0,0,0,0,0,0.0,0.0,Sambi,21.0,2021-07-19,1999-10-22,False,p437742,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,511,190,507,190,487,182,511,190,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,434,235,205,9,514,191,467,155,0.0,0.0,0.0,3,0,,1,0,Arsenal,0,0,0,ARS,4,,False,0,1320,1325,1350,1350,1290,1300,1,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],304
48,True,True,75.0,,244850,0,0,0,0,0,3,1.4,,0,Morgan,0.0,47,False,Ankle injury - 75% chance of playing,2025-08-10T22:00:04.458365Z,70,244850.jpg,4.4,False,Rogers,13.5,False,,d,2,7,161,0,0,0,0,0.0,23.0,Rogers,241.0,2024-02-01,2002-07-26,False,p244850,3115,8,11,10,40,0,0,0,10,0,0,15,534,731.6,722.7,689.0,214.3,0,0,0,193,37,6.49,5.24,11.73,43.70,45,13,32,29,38,24,19,14,,,,,,,0.19,0.0,0.15,0.34,1.26,1.16,35,22,648,281,26,15,34,8,1.07,0.29,5.58,7,0,,2,0,Aston Villa,0,0,0,AVL,3,,False,0,1125,1250,1110,1200,1140,1300,2,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],304
49,True,True,,,166989,0,0,0,0,0,3,1.6,,0,Youri,0.0,48,False,,,60,166989.jpg,3.4,False,Tielemans,2.1,False,,a,2,7,121,0,0,0,0,0.0,20.2,Tielemans,21.0,2023-06-14,1997-05-07,False,p166989,3025,3,7,7,46,0,0,1,4,0,0,15,686,799.6,963.1,333.0,209.6,0,0,0,314,35,3.31,5.83,9.14,43.87,29,7,8,8,93,64,23,18,3.0,,,,4.0,,0.1,0.0,0.17,0.27,1.31,1.37,86,59,578,231,101,48,125,39,1.04,0.21,9.34,7,0,,2,0,Aston Villa,0,0,0,AVL,3,,False,0,1125,1250,1110,1200,1140,1300,2,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],304
51,True,True,,,195546,0,0,0,0,0,3,1.5,,0,Emiliano,0.0,50,False,,,55,195546.jpg,0.9,False,Buendía Stati,0.2,False,,a,2,7,11,0,0,0,0,0.0,2.0,Buendía,10.0,2021-06-10,1996-12-25,False,p195546,89,0,0,0,2,0,0,0,1,0,0,0,37,16.4,23.2,16.0,5.2,0,0,0,16,0,0.65,0.03,0.68,2.27,357,167,320,166,309,162,355,168,,,,,,,0.66,0.0,0.03,0.69,2.3,2.02,139,91,496,182,381,181,403,130,0.0,0.0,16.18,7,0,,2,0,Aston Villa,0,0,0,AVL,3,,False,0,1125,1250,1110,1200,1140,1300,2,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],304
53,True,True,,,232653,0,0,0,0,0,3,1.5,,0,Jacob,0.0,52,False,,,55,232653.jpg,2.3,False,Ramsey,0.6,False,,a,2,7,66,0,0,0,0,0.0,12.0,J.Ramsey,241.0,2019-02-12,2001-05-28,False,p232653,1616,1,4,5,26,0,0,0,2,1,0,3,265,235.4,307.9,245.0,78.7,0,0,0,133,19,1.59,2.18,3.77,23.99,228,109,120,86,120,81,172,94,,,,,,,0.09,0.0,0.12,0.21,1.34,1.45,159,104,516,195,211,93,234,81,1.06,0.28,7.41,7,0,,2,0,Aston Villa,0,0,0,AVL,3,,False,0,1125,1250,1110,1200,1140,1300,2,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],304
54,True,True,,,204646,0,0,0,0,0,3,1.5,,0,Donyell,0.0,53,False,,,55,204646.jpg,2.4,False,Malen,2.7,False,,a,2,7,34,0,0,0,0,0.0,6.2,Malen,152.0,2025-01-14,1999-01-19,False,p204646,296,3,0,0,6,0,0,0,0,0,0,3,112,138.2,42.7,208.0,38.5,0,0,0,17,2,2.15,0.15,2.30,4.77,284,134,288,155,143,95,262,133,,,,,,,0.65,0.0,0.05,0.7,1.45,1.82,144,95,501,186,196,84,104,35,0.61,0.0,5.17,7,0,,2,0,Aston Villa,0,0,0,AVL,3,,False,0,1125,1250,1110,1200,1140,1300,2,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],304
57,True,False,0.0,,491287,0,0,0,0,0,3,0.0,,0,Enzo,0.0,56,False,Season-long loan to Benfica,2025-07-22T13:50:13.193555Z,50,491287.jpg,0.0,False,Barrenechea,0.0,False,,u,2,7,0,0,0,0,0,0.0,0.0,Barrenechea,,,,False,p491287,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,632,269,631,269,624,266,632,269,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,323,200,439,142,632,269,684,303,0.0,0.0,0.0,7,0,,2,0,Aston Villa,0,0,0,AVL,3,,False,0,1125,1250,1110,1200,1140,1300,2,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],304
58,True,True,,,461421,0,0,0,0,0,3,1.0,,0,Lewis,0.0,57,False,,,50,461421.jpg,0.0,False,Dobbin,0.1,False,,a,2,7,0,0,0,0,0,0.0,0.0,Dobbin,241.0,2024-06-23,2003-01-03,False,p461421,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,624,262,622,261,615,258,624,262,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,305,188,421,130,624,262,586,234,0.0,0.0,0.0,7,0,,2,0,Aston Villa,0,0,0,AVL,3,,False,0,1125,1250,1110,1200,1140,1300,2,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],304
