,can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code_x,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form_x,id_x,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,defensive_contribution_per_90,code_y,draw,form_y,id_y,loss,team_name,played,points,position,short_name,strength,team_division,unavailable,win,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id,id,plural_name,plural_name_short,position_name,singular_name_short,squad_select,squad_min_select,squad_max_select,squad_min_play,squad_max_play,ui_shirt_specific,sub_positions_locked,element_count
29,True,True,,,219847,0,0,0,0,0,4,2.9,,0,Kai,0.0,30,False,,,75,219847.jpg,4.2,False,Havertz,1.2,False,,a,1,3,97,0,0,0,0,0.0,12.9,Havertz,80.0,2023-06-28,1999-06-11,False,p219847,1872,9,3,7,20,0,0,0,5,0,0,14,343,467.6,269.0,711.0,144.8,0,0,0,99,21,9.53,1.65,11.18,19.32,135,15,134,15,33,14,76,15,,,,,,,0.46,0.0,0.08,0.54,0.93,0.96,22,10,660,64,35,9,166,27,1.01,0.34,4.76,3,0,,1,0,Arsenal,0,0,0,ARS,4,,False,0,1320,1325,1350,1350,1290,1300,1,4,Forwards,FWD,Forward,FWD,3,,,1,3,False,[],73
30,True,True,0.0,,205651,0,0,0,0,0,4,0.0,,0,Gabriel,0.0,31,False,Knee injury - Unknown return date,2025-07-21T10:00:04.697564Z,65,205651.jpg,2.5,False,Fernando de Jesus,0.0,False,,i,1,3,42,0,0,0,0,0.0,6.5,G.Jesus,30.0,2022-07-04,1997-04-03,False,p205651,600,3,2,2,5,0,0,0,4,0,0,6,152,154.4,119.5,255.0,52.6,0,0,0,50,6,3.05,0.52,3.57,5.82,278,25,220,23,116,23,233,24,,,,,,,0.46,0.0,0.08,0.54,0.87,0.75,53,17,617,53,190,19,636,72,0.9,0.3,7.5,3,0,,1,0,Arsenal,0,0,0,ARS,4,,False,0,1320,1325,1350,1350,1290,1300,1,4,Forwards,FWD,Forward,FWD,3,,,1,3,False,[],73
65,True,True,,,178301,0,0,0,0,0,4,2.3,,0,Ollie,0.0,64,False,,,90,178301.jpg,4.9,False,Watkins,22.3,False,,a,2,7,186,0,0,0,0,0.0,20.7,Watkins,241.0,2020-09-09,1995-12-30,False,p178301,2593,16,8,10,40,0,0,0,2,0,0,32,631,766.0,345.2,1148.0,223.8,0,0,0,78,31,15.12,2.07,17.19,38.62,34,6,102,9,6,4,15,5,,,,,3.0,,0.52,0.0,0.07,0.59,1.34,1.39,7,3,679,70,13,6,14,4,1.08,0.35,2.71,7,0,,2,0,Aston Villa,0,0,0,AVL,3,,False,0,1125,1250,1110,1200,1140,1300,2,4,Forwards,FWD,Forward,FWD,3,,,1,3,False,[],73
66,True,True,,,576756,0,0,0,0,0,4,0.5,,0,Zépiqueno,0.0,65,False,,,45,576756.jpg,0.0,False,Redmond,0.8,False,,a,2,7,0,0,0,0,0,0.0,0.0,Redmond,,,,False,p576756,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,583,48,579,48,563,48,583,48,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,533,67,304,15,584,48,198,35,0.0,0.0,0.0,7,0,,2,0,Aston Villa,0,0,0,AVL,3,,False,0,1125,1250,1110,1200,1140,1300,2,4,Forwards,FWD,Forward,FWD,3,,,1,3,False,[],73
100,True,True,,,431639,0,0,0,0,0,4,1.2,,0,Zian,0.0,215,False,,,55,431639.jpg,0.0,False,Flemming,0.2,False,,a,3,90,0,0,0,0,0,0.0,0.0,Flemming,152.0,2025-06-01,1998-08-01,False,p431639,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,657,63,657,63,654,63,657,63,,,2.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,165,35,522,37,657,63,409,61,0.0,0.0,0.0,90,0,,3,0,Burnley,0,0,0,BUR,2,,False,0,1050,1050,1050,1050,1050,1050,43,4,Forwards,FWD,Forward,FWD,3,,,1,3,False,[],73
107,True,True,75.0,,440323,0,0,0,0,0,4,0.9,,0,Armando,0.0,680,False,Lack of match fitness - 75% chance of playing,2025-08-11T13:54:18.805493Z,55,440323.jpg,0.0,False,Broja,0.0,False,,d,3,90,0,0,0,0,0,0.0,0.0,Broja,2.0,2025-08-08,2001-09-10,False,p440323,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,661,65,661,65,658,65,661,65,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,172,37,529,39,661,65,621,71,0.0,0.0,0.0,90,0,,3,0,Burnley,0,0,0,BUR,2,,False,0,1050,1050,1050,1050,1050,1050,43,4,Forwards,FWD,Forward,FWD,3,,,1,3,False,[],73
177,True,True,,,216646,0,0,0,0,0,4,2.4,,0,Yoane,0.0,135,False,,,75,216646.jpg,5.3,False,Wissa,5.7,False,,a,5,94,185,0,0,0,0,0.0,24.7,Wissa,50.0,2021-08-10,1996-09-03,False,p216646,2921,18,6,9,45,0,0,0,5,0,0,32,739,849.4,400.0,1181.0,242.4,0,0,0,138,34,18.58,2.20,20.77,45.12,19,4,92,5,5,3,12,4,,,,,4.0,,0.57,0.0,0.07,0.64,1.39,1.39,21,9,659,63,9,5,68,14,1.05,0.28,4.25,94,0,,5,0,Brentford,0,0,0,BRE,3,,False,0,1120,1185,1080,1080,1160,1290,130,4,Forwards,FWD,Forward,FWD,3,,,1,3,False,[],73
178,True,True,,,502500,0,0,0,0,0,4,2.0,,0,Igor Thiago,0.0,136,False,,,60,502500.jpg,1.1,False,Nascimento Rodrigues,1.0,False,,a,5,94,9,0,0,0,0,0.0,1.5,Thiago,30.0,2024-07-01,2001-06-26,False,p502500,167,0,0,0,4,0,0,0,0,0,0,0,32,18.2,30.6,12.0,5.8,0,0,0,22,1,0.13,0.04,0.17,3.54,356,31,306,29,318,34,351,31,,,,,,,0.07,0.0,0.02,0.09,1.91,2.16,111,28,603,49,335,32,179,30,0.54,0.0,11.86,94,0,,5,0,Brentford,0,0,0,BRE,3,,False,0,1120,1185,1080,1080,1160,1290,130,4,Forwards,FWD,Forward,FWD,3,,,1,3,False,[],73
220,True,True,,,50175,0,0,0,0,0,4,2.2,,0,Danny,0.0,178,False,,,65,50175.jpg,4.2,False,Welbeck,5.8,False,,a,6,36,125,0,0,0,0,0.0,19.2,Welbeck,241.0,2020-10-18,1990-11-26,False,p50175,2109,10,5,7,37,0,0,0,5,0,0,21,484,550.2,331.3,676.0,155.8,0,0,0,95,24,9.58,1.36,10.94,37.40,106,11,108,11,40,15,65,14,,,1.0,,1.0,,0.41,0.0,0.06,0.47,1.6,1.58,44,15,608,51,33,8,67,13,1.02,0.3,4.05,36,0,,6,0,Brighton,0,0,0,BHA,3,,False,0,1150,1175,1090,1140,1210,1210,131,4,Forwards,FWD,Forward,FWD,3,,,1,3,False,[],73
223,True,True,,,647850,0,0,0,0,0,4,1.4,,0,Charalampos,0.0,181,False,,,50,647850.jpg,0.0,False,Kostoulas,0.5,False,,a,6,36,0,0,0,0,0,0.0,0.0,Kostoulas,83.0,2025-07-01,2007-05-30,False,p647850,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,647,61,647,61,640,61,647,61,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,356,52,472,31,647,61,255,46,0.0,0.0,0.0,36,0,,6,0,Brighton,0,0,0,BHA,3,,False,0,1150,1175,1090,1140,1210,1210,131,4,Forwards,FWD,Forward,FWD,3,,,1,3,False,[],73
